iteration,loss,pure_loss,dist,x1,x2,x3,x4,x5,x6,kernel
0,0.8206989750797419,0.8206989750797419,3.1883676129535976,-0.33191198118970355,0.8812979737686328,-1.9995425007306205,-0.7906697094726407,-1.4129764367315478,-1.6306456209248088,RBF_UPD
1,1.0543444936062005,1.0543444936062005,4.177525667846053,-1.9602045316160912,-1.0594761264462609,1.628991371411646,1.9004728861447266,1.85644352434909,1.6658441100631984,RBF_UPD
2,0.8335059145686726,0.8335059145686726,3.0206715353066764,-0.12748408947543033,1.437148914449354,-1.905204274029507,-0.63183245534321,-1.192190540592354,-1.2619324333562545,RBF_UPD
3,1.0355700805552732,1.0355700805552732,4.573765401053083,2.0,-0.9588169501371311,-2.0,-2.0,-2.0,-2.0,RBF_UPD
4,1.0060749594655087,1.0060749594655087,3.6595538576836044,-1.5879627283120923,1.170566981432823,-2.0,-0.4136492763638,-1.3834111814375043,-1.8481205404397216,RBF_UPD
5,0.8039004765187865,0.8039004765187865,3.093372346294802,0.22665427728766874,0.9066056641646916,-1.978714645693515,-0.9015478596803863,-1.3677981774934358,-1.4479897908419281,RBF_UPD
6,0.6831473138338978,0.6831473138338978,2.5138645285864083,-0.031166476923754072,0.24561858943710346,-2.0,-0.6442539767574045,-0.8322118336257185,-1.0726487331506256,RBF_UPD
7,0.6448731112365176,0.6448731112365176,2.2198210353059777,-0.1489952183924801,-0.4162147607848272,-2.0,-0.42595455984032093,-0.3094243727207544,-0.674529759985069,RBF_UPD
8,0.7281982011130916,0.7281982011130916,2.6846467786837045,-0.22993724964042794,-0.07436593538429159,-2.0,-1.3295347646241586,0.5079068254019012,-1.059856056993096,RBF_UPD
9,0.6504289966908747,0.6504289966908747,2.368671394966156,0.20909413349742723,-0.2287802983568974,-1.9547971941165585,-0.6321260860075295,-0.18226486056536695,-1.1227232328661962,RBF_UPD
10,0.7214672185124569,0.7214672185124569,2.6205314919770952,0.3725621257280105,-0.38026077800349123,-2.0,0.8463448308234143,-0.46507760291043243,-1.2849855074040635,RBF_UPD
11,0.25084885701147597,0.25084885701147597,1.4408340686923327,-0.028566603464709406,-0.5920232102769589,-0.6379117302385358,-0.5008741463670094,-0.5869032869850683,-0.84996089722744,RBF_UPD
12,0.3070712681845206,0.3070712681845206,1.6023423809822068,-0.05181081030752965,-0.7609850119388262,0.4348984776396776,-0.6223546014816963,-0.8068351431414948,-0.8707891095923068,RBF_UPD
13,0.09389540458135737,0.09389540458135737,0.7590712177739877,0.2700359482307273,-0.253621479423241,-0.10583165565180352,-0.34583143873606437,-0.3990025056434878,-0.385931499913059,RBF_UPD
14,0.33969293642046705,0.33969293642046705,1.0634567093671314,0.7994652782246372,-0.15827543723142057,-0.023670860552035267,-0.36713161409658257,-0.40227725858108054,0.4117904844704743,RBF_UPD
15,0.04992722066565103,0.04992722066565103,0.7238842338345269,0.08074466300288874,0.1296142517678005,0.11486176555114769,-0.07481513600342327,0.010851628513544487,-0.6941041287352279,RBF_UPD
16,0.08709178952644048,0.08709178952644048,0.7315860068232718,-0.27649108751490714,0.20633022547440172,0.10508738624235914,0.17480152516411263,-0.5151502603161406,-0.3304843102318,RBF_UPD
17,0.12889948615839664,0.12889948615839664,0.8696279990255945,-0.2891499629535963,0.33545644277376985,0.14156051087646127,-0.6493291916735735,-0.06927844902992164,-0.3371154842419868,RBF_UPD
18,0.22268516970182461,0.22268516970182461,1.2157502997209169,0.42874256687214496,0.4732657735194721,0.20635058323400646,-0.09441972605740867,-0.5370756379985571,-0.854577217948777,RBF_UPD
19,0.06285888163991926,0.06285888163991926,0.5884255242106566,-0.15151082551453587,-0.377715482720524,0.10484841765276265,0.1155710937844674,0.1965722584679881,-0.3429716609366722,RBF_UPD
20,0.5058036205008039,0.5058036205008039,1.8550924300272111,0.8289151733308713,-0.5018553974986009,0.2220009844740729,-0.347631338471903,1.1106962352568654,-1.0481558127294994,RBF_UPD
21,0.02808565207191327,0.02808565207191327,0.4705471004171717,-0.13846131046673582,0.024747571564105897,-0.13496493939805565,0.07945044938665591,-0.00787036583079681,-0.4207621008167781,RBF_UPD
22,0.5227154557239038,0.5227154557239038,1.927515113624651,-0.6971425669655251,0.8117683826170139,0.4726634012648141,1.0481061138600545,0.7465225428890592,-0.8313277474690304,RBF_UPD
23,0.12567783579539427,0.12567783579539427,0.9707210461221004,0.13947860533838785,-0.4285526789676468,0.04273610995313648,0.5682476365846605,-0.3112346129527175,-0.5635502936820187,RBF_UPD
24,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,-2.0,-2.0,2.0,-2.0,2.0,RBF_UPD
25,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,2.0,2.0,2.0,-2.0,2.0,RBF_UPD
26,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,2.0,-2.0,2.0,2.0,2.0,RBF_UPD
27,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,-2.0,2.0,-2.0,-2.0,2.0,RBF_UPD
28,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,2.0,2.0,-2.0,2.0,2.0,RBF_UPD
29,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,-2.0,2.0,2.0,-2.0,2.0,RBF_UPD
30,0.08149494305150662,0.08149494305150662,0.7064145622525609,-0.3027161466690731,-0.1480220735982969,-0.00455735225999776,-0.06484916998438206,-0.11753935477944255,-0.6061619006558505,RBF_UPD
31,0.012180276137884416,0.012180276137884416,0.26703302108850085,0.017287396402723143,0.16538681772752506,-0.09011314772521173,0.13155269621868726,0.10825211223663089,-0.08068438337240424,RBF_UPD
32,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,2.0,-2.0,-2.0,-2.0,2.0,RBF_UPD
33,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,-2.0,-2.0,-2.0,2.0,2.0,RBF_UPD
34,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,2.0,2.0,2.0,2.0,2.0,RBF_UPD
35,1.0120749130301083,1.0120749130301083,4.898979485566356,-2.0,-2.0,2.0,2.0,-2.0,-2.0,RBF_UPD
36,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,-2.0,-2.0,2.0,2.0,2.0,RBF_UPD
37,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,-2.0,2.0,-2.0,2.0,2.0,RBF_UPD
38,0.9906468500387875,0.9906468500387875,4.4757703647331555,0.1803340173776613,2.0,2.0,-2.0,2.0,-2.0,RBF_UPD
39,0.9919718228901804,0.9919718228901804,4.495723692840771,0.45992556177045074,2.0,-2.0,2.0,-2.0,2.0,RBF_UPD
